evaluation_batch,source_path,variant,case,episode_count,unique_seed_count,seed_min,seed_max
0,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_n100/evaluation/full/case1/seed8303/episodes.csv,full,case1,100,100,98401,98500
0,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_n100/evaluation/no_trust/case1/seed8303/episodes.csv,no_trust,case1,100,100,98401,98500
0,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_n100/evaluation/no_gru/case1/seed8303/episodes.csv,no_gru,case1,100,100,98401,98500
0,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_n100/evaluation/no_attention_residual/case1/seed8303/episodes.csv,no_attention_residual,case1,100,100,98401,98500
1,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n500/evaluation/full/case1/seed8303/episodes.csv,full,case1,500,500,100001,100500
1,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n500/evaluation/no_trust/case1/seed8303/episodes.csv,no_trust,case1,500,500,100001,100500
1,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n500/evaluation/no_gru/case1/seed8303/episodes.csv,no_gru,case1,500,500,100001,100500
1,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n500/evaluation/no_attention_residual/case1/seed8303/episodes.csv,no_attention_residual,case1,500,500,100001,100500
2,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n400/evaluation/full/case1/seed8303/episodes.csv,full,case1,400,400,102001,102400
2,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n400/evaluation/no_trust/case1/seed8303/episodes.csv,no_trust,case1,400,400,102001,102400
2,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n400/evaluation/no_gru/case1/seed8303/episodes.csv,no_gru,case1,400,400,102001,102400
2,ablation_case_specific_20260731/V3_case_specific_n100_20260801/formal_evaluation_case1_n400/evaluation/no_attention_residual/case1/seed8303/episodes.csv,no_attention_residual,case1,400,400,102001,102400
